direction,model,bleu_mean,chrf_mean
hi2tgt,nllb,18.09667087919293,41.756853579452574
hi2tgt,mt5,36.57445103550167,59.335624860782076
hi2tgt,qwen,19.31977426063695,42.714620390072476
hi2tgt,llama,23.187323078268015,47.06980544982473
tgt2hi,nllb,39.55538451686788,57.98336585248582
tgt2hi,mt5,77.69142914441073,85.86837236097878
tgt2hi,qwen,37.42602340784516,55.687847988880044
tgt2hi,llama,53.24702361852975,68.39135435575099
