experiment,bleu,chrf,comet,rho_rep,rho_len
sft,0.20508590382391792,0.44860404898777817,0.5657765384018422,0.008081685032855142,0.804403104266481
dpo_raw,0.2062264656327532,0.45116840034512967,0.5679538807272911,0.007319381958995851,0.8001855444366888
dpo_quality_only,0.20272550043902288,0.4494327866451107,0.5666167961061,0.007536773263343677,0.801639505282748
dpo_no_confidence,0.20651485234843586,0.452096282915379,0.5696991862356663,0.007073480319651587,0.8006934007219806
recap_dpo,0.2021781251767756,0.4496003538744532,0.5667101339995861,0.007536773263343677,0.8017803503531704
sft_ppo,0.20068584988548543,0.446049663744566,0.564994751662016,0.006252492486271291,0.7981966354544088
sft_grpo,0.20508590382391792,0.4490141739403393,0.565641211271286,0.008081685032855142,0.8043406042664809
recap_dpo_grpo,0.2021781251767756,0.4496003538744532,0.5667101339995861,0.007536773263343677,0.8017803503531704
