experiment,bleu,chrf,comet,rho_rep,rho_len
ablation_quality_only,0.20690129594286566,0.4532991047381089,0.5706531584262848,0.007319381958995851,0.8037467305557665
ablation_quality_plus_rep,0.2060323012500693,0.4529207656429912,0.5702724185585976,0.007319381958995851,0.803275032442559
ablation_quality_plus_len,0.2086359580988348,0.45519435844731876,0.5717835386097431,0.007073480319651587,0.8071188168028527
ablation_full_reward_margin,0.20225664863185172,0.44916518623622265,0.5670665636658668,0.007073480319651587,0.7998021239970663
