direction,model,bleu_mean,chrf_mean
hi2tgt,nllb,19.187443876205215,45.37793279181051
hi2tgt,mt5,36.73217167527675,60.37199352791335
hi2tgt,qwen,15.916751313891202,38.99214386763481
hi2tgt,llama,30.691979482442573,55.393461236995584
tgt2hi,nllb,43.280481972536464,60.623893381708754
tgt2hi,mt5,66.83848413228964,78.73361899068678
tgt2hi,qwen,25.960058457128714,44.99133505218452
tgt2hi,llama,60.99671674142002,74.41247490286824
