lang,direction,experiment,n_paired,delta_bleu,delta_bleu_ci_lo,delta_bleu_ci_hi,delta_bleu_pvalue,delta_chrf,delta_chrf_ci_lo,delta_chrf_ci_hi,delta_chrf_pvalue,delta_comet,delta_comet_ci_lo,delta_comet_ci_hi,delta_comet_pvalue
Bhili,hi2tgt,ablation_quality_only,200,0.0018153921189477396,-0.00991615542796409,0.01211668672386046,0.702,0.0046950557503307455,-0.0046760737390487694,0.014194299261167054,0.312,0.004876620024442668,0.0003545698523521601,0.010217617154121506,0.038
Bhili,hi2tgt,ablation_quality_plus_rep,200,0.0009463974261513797,-0.010509474298567273,0.011318255009399952,0.844,0.004316716655213049,-0.005330571724657451,0.013841298084467213,0.354,0.004495880156755394,-3.1562149524710925e-05,0.009859213232994102,0.054
Bhili,hi2tgt,ablation_quality_plus_len,200,0.0035500542749168917,-0.008094315454654555,0.01418621282401386,0.492,0.006590309459540589,-0.003120098371930946,0.016209985385542303,0.184,0.006007000207900903,0.0010138352215289803,0.011579858660697995,0.01
Bhili,hi2tgt,ablation_full_reward_margin,200,-0.002829255192066199,-0.011806170650958653,0.005158017645898627,0.58,0.0005611372484444765,-0.007749645066352673,0.007984068282155865,0.878,0.0012900252640246634,-0.0015260118246077647,0.0041261057555675995,0.36
