lang,direction,experiment,n_paired,delta_bleu,delta_bleu_ci_lo,delta_bleu_ci_hi,delta_bleu_pvalue,delta_chrf,delta_chrf_ci_lo,delta_chrf_ci_hi,delta_chrf_pvalue,delta_comet,delta_comet_ci_lo,delta_comet_ci_hi,delta_comet_pvalue
Bhili,hi2tgt,dpo_raw,200,0.0011405618088352887,-0.009221956528244313,0.010861557437371272,0.806,0.002564351357351502,-0.005807183370808544,0.010456297179753993,0.536,0.002177342325448972,-0.0010737025737762584,0.005552547574043221,0.202
Bhili,hi2tgt,dpo_quality_only,200,-0.0023604033848950434,-0.011264719963113456,0.005443662372023594,0.664,0.0008287376573325456,-0.007449579056683475,0.008260645736962002,0.804,0.0008402577042578852,-0.0019463963806628515,0.0036399714648722714,0.544
Bhili,hi2tgt,dpo_no_confidence,200,0.0014289485245179423,-0.009769914084754167,0.011737266953530445,0.754,0.0034922339276008407,-0.005983464386596582,0.013119794324599365,0.454,0.003922647833824122,-0.00045551761984818917,0.009195034801959934,0.086
Bhili,hi2tgt,recap_dpo,200,-0.0029077786471423117,-0.011664427141299727,0.004988800487665562,0.568,0.0009963048866750146,-0.007241083750516908,0.008367917542608183,0.784,0.0009335955977439747,-0.0019095464050770117,0.0037320904433727486,0.492
Bhili,hi2tgt,sft_ppo,200,-0.0044000539384324855,-0.011847373296400926,-3.05885206669243e-05,0.026,-0.002554385243212165,-0.008889277038988896,0.0012749405403830183,0.414,-0.0007817867398262068,-0.002616743445396419,0.0002896589040756181,0.5
Bhili,hi2tgt,sft_grpo,200,0.0,0.0,0.0,1.0,0.0004101249525611528,0.0,0.0012806857792095894,0.796,-0.00013532713055619539,-0.0004059813916683641,0.0,0.796
Bhili,hi2tgt,recap_dpo_grpo,200,-0.0029077786471423117,-0.011664427141299727,0.004988800487665562,0.568,0.0009963048866750146,-0.007241083750516908,0.008367917542608183,0.784,0.0009335955977439747,-0.0019095464050770117,0.0037320904433727486,0.492
